Title,latitude,longitude
289,42.23,-112.15
290,42.14,-112.0
291,45.52,-121.73
292,48.0,-122.44
293,47.58,-121.98
294,47.14,-123.45
295,48.59,-122.23
296,47.84,-122.52
297,47.98,-122.4
298,48.0,-122.44
299,48.04,-122.8
300,44.0,-116.8
301,47.24,-122.09
302,48.36,-122.63
303,47.24,-122.09
304,48.1,-123.14
305,48.85,-119.64
306,48.14,-118.88
307,44.04,-111.6
308,43.52,-116.95
309,48.41,-119.49
310,45.17,-122.63
311,42.34,-113.17
312,43.85,-116.53
313,45.17,-122.75
314,45.51,-122.35
315,48.83,-122.59
316,48.48,-122.25
317,45.68,-117.96
318,47.85,-122.52
319,45.63,-121.39
320,46.11,-117.21
321,46.13,-116.79
322,47.73,-120.84
323,47.11,-122.78
324,47.34,-117.77
325,47.27,-122.08
326,42.27,-113.2
327,47.27,-122.08
328,45.6,-117.66
329,42.27,-113.2
330,45.47,-121.21
331,46.98,-117.58
332,43.75,-111.51
333,44.06,-111.27
334,43.99,-111.2
335,44.04,-111.27
336,43.88,-111.31
337,43.91,-111.19
338,44.03,-111.29
339,43.27,-123.21
340,44.83,-122.61
341,46.16,-123.67
342,45.1,-123.33
343,43.4,-114.18
344,44.19,-111.65
345,43.79,-111.22
346,44.4,-111.6
347,42.98,-112.08
348,43.45,-113.82
349,43.93,-111.26
350,43.38,-111.72
351,43.88,-111.14
352,42.91,-124.43
353,45.28,-122.57
354,47.09,-123.38
355,44.75,-122.55
356,44.78,-123.48
357,43.45,-113.85
358,43.57,-113.92
359,43.42,-114.15
360,48.77,-122.15
361,46.4,-124.03
362,44.76,-121.67
363,45.49,-122.3
364,42.1,-111.76
365,45.91,-123.27
366,47.78,-121.38
367,44.57,-122.37
368,46.09,-116.87
369,43.65,-123.45
370,45.29,-117.13
371,46.07,-123.28
372,48.83,-122.59
373,48.0,-123.14
374,42.9,-124.48
375,42.8,-124.49
376,48.98,-122.54
377,45.78,-122.66
378,46.28,-123.45
379,46.37,-123.79
380,43.66,-121.56
381,35.52,-114.14
382,35.23,-114.39
383,34.77,-117.69
384,34.78,-114.27
385,34.66,-117.1
386,36.68,-114.67
387,35.65,-114.2
388,35.46,-114.29
389,35.79,-119.9
390,37.35,-114.54
391,35.21,-117.79
392,36.25,-120.28
393,34.66,-117.14
394,34.54,-116.95
395,41.3,-122.56
396,39.13,-119.9
397,37.97,-119.96
398,41.21,-122.59
399,39.54,-120.6
400,39.3,-120.57
401,38.93,-120.09
402,39.53,-120.49
403,40.28,-121.15
404,39.36,-119.85
405,39.56,-120.35
406,39.11,-119.9
407,32.76,-115.59
408,32.73,-115.32
409,33.14,-115.62
410,35.08,-119.33
411,39.05,-122.69
412,36.71,-114.7
413,34.6,-120.17
414,34.49,-117.62
415,34.89,-114.55
416,33.73,-116.19
417,33.27,-115.57
418,39.97,-122.27
419,33.66,-114.51
420,40.19,-122.23
421,37.87,-120.97
422,39.27,-121.57
423,36.18,-119.6
424,32.88,-116.86
425,33.34,-117.01
426,38.36,-121.05
427,39.2,-120.77
428,37.8,-122.13
429,40.26,-122.29
430,38.41,-122.68
431,39.25,-120.7
432,35.16,-120.52
433,37.04,-121.7
434,40.11,-122.05
435,43.22,-123.27
436,43.2,-123.22
437,40.1,-122.17
438,39.94,-122.15
439,34.05,-118.75
440,39.53,-122.4
441,37.5,-121.61
442,34.2,-118.66
443,32.61,-116.75
444,36.08,-120.73
445,39.25,-122.3
446,35.46,-120.76
447,38.4,-120.05
448,37.59,-121.62
449,38.11,-121.03
450,34.25,-118.89
451,38.48,-120.94
452,37.51,-120.31
453,39.81,-122.37
454,36.43,-120.58
455,38.78,-121.89
456,34.01,-117.6
457,36.81,-120.25
458,37.44,-120.88
459,37.83,-121.09
460,37.44,-120.67
461,37.85,-121.65
462,35.14,-120.52
463,34.84,-120.34
464,34.63,-120.22
465,39.21,-122.2
466,38.97,-121.86
467,39.52,-122.04
468,38.76,-121.56
469,37.04,-121.56
470,39.35,-123.76
471,42.55,-122.82
472,38.85,-123.63
473,39.46,-123.78
474,42.36,-123.33
475,43.18,-123.51
476,43.36,-123.5
477,38.1,-121.69
478,38.3,-122.63
479,38.41,-121.49
480,38.89,-122.46
481,39.84,-122.57
482,33.82,-117.15
483,36.68,-114.66
484,37.17,-120.9
485,37.0,-120.76
486,36.15,-119.76
487,34.88,-119.49
488,39.93,-122.26
489,34.43,-119.8
490,38.56,-121.83
491,37.7,-120.93
492,39.11,-121.5
493,38.72,-121.58
494,42.48,-122.47
495,43.48,-123.44
496,42.97,-122.89
497,43.43,-123.6
498,38.73,-122.18
499,37.49,-121.61
500,37.72,-120.93
501,39.38,-121.61
502,33.63,-117.14
503,39.72,-122.56
504,40.1,-122.27
505,38.18,-122.19
506,38.21,-122.19
507,39.66,-122.53
508,35.66,-120.22
509,37.45,-121.1
510,36.39,-120.99
511,39.35,-121.56
512,37.05,-120.3
513,36.82,-120.16
514,43.04,-123.66
515,37.45,-121.69
516,35.17,-118.43
517,42.91,-123.65
518,40.64,-123.0
519,42.24,-122.91
520,43.65,-123.17
521,38.44,-122.98
522,39.01,-120.98
523,37.41,-120.0
524,37.01,-121.81
525,37.21,-122.16
526,34.63,-120.18
527,42.43,-123.41
528,41.82,-124.1
529,33.91,-116.74
530,35.14,-118.47
531,35.68,-120.37
532,33.74,-117.68
533,37.18,-122.37
534,35.42,-120.14
535,36.14,-120.86
536,35.18,-120.49
537,33.64,-117.77
538,35.55,-120.42
539,37.99,-121.88
540,39.58,-121.98
541,39.01,-123.12
542,36.84,-119.09
543,42.45,-122.86
544,35.53,-120.31
545,35.7,-120.4
546,35.37,-119.21
547,33.6,-114.7
548,33.09,-115.68
549,33.63,-114.54
550,34.62,-117.01
551,35.6,-114.01
552,39.15,-120.2
553,39.53,-120.32
554,39.3,-120.24
555,38.33,-120.28
556,40.39,-121.69
557,38.17,-121.53
558,37.94,-121.48
559,38.07,-121.6
560,38.13,-121.62
561,37.97,-121.52
562,37.95,-121.54
563,38.09,-121.58
564,37.91,-121.55
565,34.16,-119.07
566,38.28,-121.55
567,37.92,-121.42
568,38.19,-121.65
569,38.05,-121.04
570,38.32,-121.39
571,37.9,-121.54
572,38.17,-121.17
573,36.53,-114.42
574,38.17,-122.41
575,39.51,-120.26
576,39.13,-119.93
577,39.61,-120.07
578,39.34,-120.09
579,39.38,-120.21
580,41.93,-122.41
581,39.61,-120.18
582,39.59,-120.28
583,39.63,-120.09
584,39.28,-121.58
585,39.42,-122.25
586,39.12,-121.66
587,39.09,-121.78
588,37.14,-121.01
589,34.25,-119.25
590,38.49,-122.4
591,39.41,-123.58
592,41.87,-124.06
593,40.52,-121.77
594,37.49,-121.44
595,42.44,-122.75
596,42.53,-122.71
597,38.47,-121.77
598,38.71,-121.92
599,38.6,-121.94
600,37.87,-122.12
601,37.49,-122.32
602,33.74,-117.73
603,38.02,-122.05
604,35.33,-120.7
605,38.78,-121.9
606,39.63,-122.32
607,35.2,-118.81
608,36.57,-120.3
609,35.29,-119.09
610,34.91,-119.59
611,35.46,-119.07
612,35.28,-118.76
613,34.92,-119.66
614,34.47,-117.47
615,35.71,-114.45
616,35.25,-113.86
617,35.46,-114.29
618,35.48,-113.79
619,35.52,-114.37
620,36.57,-118.05
621,35.43,-114.39
622,34.54,-114.34
623,34.65,-117.97
624,34.47,-117.82
625,37.53,-122.38
626,39.74,-123.68
627,39.8,-123.76
628,39.25,-123.42
629,39.04,-123.61
630,38.28,-122.94
631,38.23,-122.82
632,38.27,-122.89
633,39.46,-121.96
634,39.22,-121.97
635,38.97,-121.95
636,39.47,-121.84
637,41.47,-122.89
638,37.31,-120.92
639,37.51,-121.08
640,39.71,-120.32
641,38.14,-122.68
642,41.67,-122.52
643,38.15,-121.9
644,38.52,-121.62
645,36.12,-119.84
646,38.08,-121.85
647,38.74,-121.8
648,38.65,-121.79
649,39.4,-121.98
650,37.45,-120.98
651,36.8,-120.11
652,41.28,-121.77
653,42.04,-123.21
654,37.72,-120.12
655,39.09,-122.76
656,39.89,-123.32
657,39.3,-123.3
658,39.69,-121.53
659,38.08,-120.34
660,39.21,-121.13
661,39.46,-121.05
662,42.24,-122.9
663,43.26,-123.51
664,39.3,-121.5
665,37.63,-120.6
666,39.13,-121.16
667,37.25,-120.03
668,34.59,-118.27
669,34.57,-118.21
670,34.53,-118.34
671,34.56,-120.56
672,37.38,-119.73
673,38.44,-122.28
674,34.45,-118.34
675,35.08,-119.75
676,36.23,-121.03
677,35.46,-120.13
678,39.63,-122.3
679,40.34,-121.48
680,42.2,-122.53
681,39.48,-120.4
682,39.36,-119.85
683,39.49,-120.31
684,39.0,-112.46
685,37.9,-112.78
686,39.48,-112.28
687,38.83,-119.17
688,40.31,-116.49
689,38.85,-119.38
690,37.88,-118.1
691,39.36,-114.81
692,38.9,-115.01
693,39.93,-111.92
694,42.15,-121.84
695,41.41,-119.98
696,39.42,-112.32
697,39.02,-112.35
698,39.98,-119.79
699,38.44,-115.03
700,40.78,-116.5
701,41.26,-114.51
702,39.06,-118.76
703,39.56,-111.58
704,40.47,-117.01
705,37.65,-113.17
706,38.9,-118.76
707,40.57,-116.33
708,40.85,-112.17
709,40.4,-112.42
710,41.17,-120.01
711,40.67,-112.31
712,40.68,-111.86
713,36.85,-118.15
714,38.61,-118.75
715,38.39,-118.63
716,38.37,-119.08
717,40.34,-116.97
718,41.21,-116.38
719,43.14,-118.7
720,42.56,-121.29
721,43.25,-116.93
722,43.63,-118.93
723,37.15,-118.28
724,42.27,-120.42
725,37.35,-118.42
726,41.64,-118.49
727,38.9,-119.71
728,38.95,-119.75
729,38.9,-119.71
730,38.86,-119.18
731,38.84,-119.17
732,40.06,-118.66
733,42.34,-120.37
734,39.86,-119.03
735,39.01,-118.87
736,40.15,-119.74
737,41.46,-116.11
738,38.96,-119.77
739,39.11,-119.14
740,39.21,-114.81
741,39.9,-111.95
742,40.13,-111.7
743,40.26,-112.11
744,39.62,-119.3
745,38.71,-116.03
746,40.12,-111.76
747,39.63,-111.86
748,39.4,-112.71
749,39.96,-118.81
750,39.72,-111.89
751,39.5,-112.64
752,38.36,-118.54
753,39.12,-119.0
754,39.49,-118.84
755,38.62,-118.98
756,39.47,-111.56
757,42.05,-111.93
758,38.26,-112.79
759,39.36,-111.62
760,39.69,-112.08
761,39.83,-111.86
762,39.0,-112.33
763,41.59,-111.89
764,42.14,-111.98
765,42.0,-111.95
766,42.08,-111.97
767,42.06,-111.98
768,40.34,-111.93
769,39.1,-119.6
770,38.15,-112.56
771,41.32,-121.22
772,41.26,-121.24
773,38.24,-112.88
774,41.83,-113.41
775,38.43,-119.14
776,39.83,-111.85
777,38.87,-119.15
778,41.73,-120.38
779,41.02,-111.94
780,39.12,-112.27
781,41.05,-120.71
782,40.95,-112.17
783,41.7,-112.55
784,38.84,-119.28
785,40.87,-112.18
786,41.88,-112.13
787,39.05,-119.14
788,40.87,-111.94
789,38.67,-114.63
790,42.01,-111.91
791,41.79,-111.87
792,41.88,-112.48
793,40.35,-112.03
794,42.25,-112.23
795,41.8,-112.03
796,42.04,-112.04
797,41.79,-112.43
798,38.62,-115.06
799,38.45,-118.7
800,40.66,-114.56
801,41.55,-114.12
802,41.02,-114.77
803,41.55,-114.14
804,41.59,-112.58
